name,domain,getapp_logo,clearbit_logo,desc,rating,num_reviews,cat,subcat,getapp_cat_link
Bookerville,,https://ga0.imgix.net/logo/o/101549-1432677908-0519404?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Discovery Automation | Cloud-based, Powerful and Affordable.",4.62,202,business-intelligence-analytics-software,data-discovery,https://www.getapp.com/business-intelligence-analytics-software/data-discovery/
Clarabridge,clarabridge.com,https://ga1.imgix.net/logo/o/100761-1417443760-7891042?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/clarabridge.com,Customer Experience Management,,0,business-intelligence-analytics-software,text-mining,https://www.getapp.com/business-intelligence-analytics-software/text-mining/
